, Mùi cỏ tươi, Mùi trái cây, Mùi hoa, Mùi sữa, Mùi gỗ tươi, Mùi caramel, Mùi mật ong, Mùi khói, Mùi earthy, Mùi rong biển, Hương cỏ tươi, Hương trái cây, Hương hoa, Hương sữa, Hương gỗ tươi, Hương caramel, Hương mật ong, Hương khói, Hương earthy, Hương rong biển, Vị ngọt, Vị chua, Vị đắng, Vị umami, Vị mặn, Hậu vị ngọt, Hậu vị đắng, Hậu vị umami, Hậu vị chua, Cảm giác béo, Cảm giác chát, Cảm giác bám miệng, Body, Sandy
 Mùi cỏ tươi,1.0,-0.445347779422744,0.5625626680656527,-0.12182747395063279,0.646799368042333,-0.9516088158486498,-0.8324031570739512,-0.394650077820366,0.30119681922280733,0.5451902442045686,0.9872920695973608,-0.452302416324818,0.7262385216703701,-0.01857533951858725,0.5501268856114511,-0.8977311490836059,-0.7393012835468907,-0.5338784511661002,0.39821774411356214,0.6696446783787372,-0.3190244086606678,-0.7169595154268339,0.4267616163254965,0.2911074001892711,0.44356281120003144,-0.1632666661170025,0.21695096455007407,0.26939620724270685,-0.47781575645227414,0.03459551918375496,0.30962094636901655,0.41161621044103885,0.630841176347414,-0.946753116400804
 Mùi trái cây,-0.445347779422744,1.0,-0.3787873881419092,-0.7725010262151765,0.09995990067544926,0.698412422160812,0.8290398982408357,0.7153610564654769,0.4772406822283925,-0.08403377145595184,-0.45169395503254384,0.9919548839021755,-0.5247501150331602,-0.7908872835635131,0.3371717794647337,0.7336237437441563,0.7226787473744232,0.7143737324737124,0.17627056753396567,-0.11412860444917308,-0.30958835393396805,0.9384824023725513,0.19041671932196688,-0.7248280096582659,-0.8433802953476238,0.30895330023153267,0.385176089038061,-0.8049231998015566,0.951770359688506,-0.8428403783268833,0.4177915418153271,0.576369715973109,0.231476115200136,0.5388159060803246
 Mùi hoa,0.5625626680656527,-0.3787873881419092,1.0,0.36014969263820756,-0.20921364149032937,-0.5949218912186095,-0.3687471814137309,-0.8730833808181192,-0.47033196247941106,-0.38584803804632806,0.42839799510207477,-0.27828602801188346,0.9697250124435535,0.4842595770406755,-0.2103329753973923,-0.3673505272835384,-0.06337806586602,-0.9115310305485298,-0.5066798536707162,-0.23382734019405882,0.5460941803154555,-0.5739606374149547,-0.4708140880824119,0.8192055956264126,0.7859774918918592,0.6444217935997609,-0.6182209376518747,0.7374517374517372,-0.6319805371998409,0.46165141821222966,-0.501295193402822,-0.1608584171556231,-0.15370136098900056,-0.7908745952947442
 Mùi sữa,-0.12182747395063279,-0.7725010262151765,0.36014969263820756,1.0,-0.7074152378823069,-0.1742750487992114,-0.293985330498003,-0.7609017685633149,-0.9095120082904075,-0.5284275967630352,-0.16554341667090053,-0.7142777911043866,0.3556380380206337,0.9904527001256048,-0.8581726066798344,-0.14947003484552793,-0.12993028689862973,-0.6656530786349322,-0.7145912169192684,-0.5312370553516562,0.7967517256323322,-0.5832174912941226,-0.7349904641747568,0.8288142272170377,0.8056594945107609,0.12232574790726093,-0.8198078898506443,0.8865223203402034,-0.8134108369459453,0.9876303106673769,-0.873043301805165,-0.9547134369412335,-0.7960434356504833,-0.1125943372777612
 Mùi gỗ tươi,0.646799368042333,0.09995990067544926,-0.20921364149032937,-0.7074152378823069,1.0,-0.4705232146680366,-0.449790041633776,0.44118070088509254,0.9084381897340071,0.9436726316076413,0.7321454177894571,0.010966763217256533,-0.035402491344558966,-0.6815649550822037,0.9664523812745159,-0.5663570438323782,-0.60797284532586,0.2976716077318794,0.9482979880272732,0.9701002579932005,-0.9284831198968907,-0.10887921983752592,0.9611810697484817,-0.531568908702483,-0.3595195434232338,-0.5878594948575175,0.8846628566568081,-0.5243926338653715,0.23741570774975024,-0.6168930957291958,0.9213139209788036,0.8427041289310956,0.9848481033608467,-0.3710354484618638
 Mùi caramel,-0.9516088158486498,0.698412422160812,-0.5949218912186095,-0.1742750487992114,-0.4705232146680366,1.0,0.945046432997646,0.5737270897316091,-0.06439807805789127,-0.44867485682520136,-0.9405851427924292,0.6987912192983761,-0.7725440608124653,-0.26473979396496333,-0.3140088040245277,0.9641312448937281,0.8284921278234324,0.6839362420852041,-0.2419025625527586,-0.560460886793896,0.13344559315101395,0.8960603337344677,-0.2604336988233485,-0.4941273685545843,-0.6535581185603768,0.21802217840396523,-0.025757243987791407,-0.5022357964815943,0.7136164021243463,-0.323676543271665,-0.0904410723985365,-0.12507001193705897,-0.4147120089501128,0.9467332898775328
 Mùi mật ong,-0.8324031570739512,0.8290398982408357,-0.3687471814137309,-0.293985330498003,-0.449790041633776,0.945046432997646,1.0,0.4897755199783008,-0.042476878149130586,-0.5369853188962151,-0.8623046926540433,0.8552162093579393,-0.5817144291793493,-0.34579037542837976,-0.23632894335956886,0.9879464832598631,0.9486502786639138,0.5774246222551161,-0.3050636588894015,-0.6036623016734315,0.1776569637796056,0.932143768744982,-0.30718374197277815,-0.43654084371144036,-0.6255432421712244,0.47278010361272615,-0.07804181692427453,-0.49166290855164085,0.7563612760200645,-0.42108674085842296,-0.09296399633494618,0.021073891323179522,-0.3433761030136702,0.7926290870042666
 Mùi khói,-0.394650077820366,0.7153610564654769,-0.8730833808181192,-0.7609017685633149,0.44118070088509254,0.5737270897316091,0.4897755199783008,1.0,0.7542943699025629,0.45998000092899727,-0.28788924359610524,0.6231854965365161,-0.8726855727467643,-0.843073960249205,0.5381930849754999,0.4162222270925115,0.2026958438945213,0.98716317482559,0.6550813598722893,0.354609435331658,-0.7345956257221928,0.7606858330455604,0.6413625651168448,-0.9926973864876653,-0.978700365857839,-0.43589061483501784,0.8035782516405858,-0.9730841204712956,0.8946300779688405,-0.8344999643516411,0.7514803730629884,0.5796368942362685,0.45933400317823775,0.6565321642986127
 Mùi earthy,0.30119681922280733,0.4772406822283925,-0.47033196247941106,-0.9095120082904075,0.9084381897340071,-0.06439807805789127,-0.042476878149130586,0.7542943699025629,1.0,0.8306445001599818,0.3936106380863505,0.38275388732826776,-0.3671876103299601,-0.9149459577128745,0.9584613707211397,-0.17200967103023718,-0.26224783861671475,0.639959880319016,0.9406808370495159,0.8170994579026256,-0.9745823935931636,0.3147692314263099,0.9500569039853464,-0.8241729468308611,-0.7129918293382963,-0.5017567287103046,0.9748955011326365,-0.8305862316125772,0.6198893209906436,-0.87386415103197,0.9965286897352896,0.9247677627130018,0.9295246210299984,0.0
 Mùi rong biển,0.5451902442045686,-0.08403377145595184,-0.38584803804632806,-0.5284275967630352,0.9436726316076413,-0.44867485682520136,-0.5369853188962151,0.45998000092899727,0.8306445001599818,1.0,0.6656271305326428,-0.1933051764910154,-0.1762035705608814,-0.5375497604113447,0.8445656768894398,-0.6156025294431708,-0.7432082369852467,0.34161292699920576,0.9654829243855391,0.9862699739171067,-0.9207724557019656,-0.19623737957527512,0.9621082637510018,-0.5228891918483126,-0.3219113899898252,-0.821130105690577,0.8810357114916663,-0.46807794779390616,0.13233880524392788,-0.4567608383308354,0.8690985774513446,0.6474378330746853,0.8746902248075299,-0.251935512762043
