subject_id,object_code,object_name,replicate,màu.nâu.đỏ,độ.sánh,m_ngọt,m_cá.hồi,m_cá.ngừ,m_cá.luộc,m_cá.khô,m_tôm.khô,m_tanh,m_thịt,m_muối.biển,m_nhiệt.phơi.nắng,m_cũ,m_khắm.thối,m_gỗ,m_mắm.tôm,m_trà.xanh.khô,m_bóng.cao.su,h_cá.hồi,h_cá.ngừ,h_cá.luộc,h_thịt,h_khắm.thối,v_mặn,v_ngọt.đạm,v_ngọt.đường,v_umami,v_chua,v_đắng,cg_chát,Comment
02972,680,Thuận.Phát.40N,1,4,5,6,5,4,3.5,2.5,0,2.5,4,2.5,2.5,3.5,0,1.5,0,0,1,4,3.5,3.5,4,0,5,5,6,3.5,1.5,0,0,"Mùi cá hồi thơm, vị ngọt đường nhiều,"
02972,520,Nam.Ngư.core,1,3,3,4,4,3,2.5,2.5,0,2,2,2.5,1,1.5,0,1,0,0,0,3,3,3,2.5,0,4,3,3.5,3.5,1.5,0,0,"Mùi cá hồi nồng hơn. Vị ngọt lợ, ít ngọt đạm, màu tái, nhạt"
02972,818,Cá.Cơm.BĐ.CLT,1,6,6.5,6,3.5,0,5,4,3.5,0,5,3,2.5,4,1.5,2.5,0,1,0,0,3,4,4.5,2,7,6,4,1.5,0,0,0,"Mùi cốt trội, mùi cũ, vị ngọt đạm, vị mặn, đậm vị, sánh, màu đỏ cánh gián"
02972,863,Hưng.Thịnh.CLT,1,5,4,4,6,0,3.5,3,0,1,3,2.5,2,2.5,0,1,0,0,0,0,4.5,3,2.5,0,5,4,3.5,3,1.5,0,0,"Mùi cá hồi trội, mùi cũ, vị ngọt đường,"
02972,142,Cá.Cơm.BĐ.HPT,1,7,6,5,3,0,6,3,3,0,6,3,3,4,0,3,0,0,0,0,2.5,5,6,0,6.5,7,4,2.5,0,0,0,"Màu đỏ cánh gián, màu sáng, mùi cốt trội, mùi cũ, vị ngọt đạm, đậm vị, mùi thịt nhiều"
02972,614,Hưng.Thịnh.HPT,1,5,4,4,5,0,2.5,3,1.5,1,2.5,2.5,2.5,2.5,0,1.5,0,0,0,0,3.5,2.5,2.5,0,5,4.5,3.5,2.5,0,0,0,"Màu đỏ, hơi tối, mùi cốt nhiều, mùi cá hồi, vị mặn, mùi cũ"
08864,680,Thuận.Phát.40N,1,5,5,1,0,2,1.5,2.5,1,0,2,2,4,5.5,2.5,2,1,0,0,2.5,0,1.5,1.5,2.5,4.5,1,3.5,3.5,1,0,1.5,Mùi cũ nhiều
08864,520,Nam.Ngư.core,1,4,5,4,6,1,1,0,0,0,3,0,1,0,0,0,0,0,0,1,5,1.5,2.5,0,5,1.5,3,2,7.5,0,1,Mùi cá hồi trội hơn
08864,818,Cá.Cơm.BĐ.CLT,1,7.5,5,3,0,0,3,1,0,0,3.5,1.5,1,2,1,3.5,0,1.5,0,0,0,2,2,0,5,2,4.5,4.5,1.5,0,1,Ko
08864,863,Hưng.Thịnh.CLT,1,5,5,1.5,0,0,2.5,2.5,0,0,2.5,1.5,1.5,3.5,1.5,2,2,0,0,0,0,2,2,0,6,2,3.5,2,1.5,0,1,Ko
